Band/Network (1/3);Lw [dB];;Ieq [dB];;Leq [dB];Ld [dB];FpI [dB];F+/- [dB];Overloaded;Band excluded;Dynamic capability too low;Repeatability;Averaging time is too short;Negligible repeatability;High FpI;Under-range
A;(-);81.8;(-);81.8;85.1;;3.3;0.0;;;;1;;;1;
C;(-);93.8;(-);93.8;87.5;;-6.4;0.0;;;;1;;;1;
Z;(-);94.6;(-);94.6;87.6;;-7.0;0.0;;;;1;;;1;
20 Hz;(-);95.5;(-);95.5;75.8;-1.0;-19.7;0.0;;;;;;;;
25 Hz;(-);95.5;(-);95.5;76.6;5.0;-19.0;0.0;;;;;;;;
31.5 Hz;(-);94.7;(-);94.7;75.8;6.0;-18.9;0.0;;;;;;;;
40 Hz;(-);93.3;(-);93.3;74.3;6.2;-19.0;0.0;;;;;;;;
50 Hz;(-);90.1;(-);90.1;71.6;8.0;-18.5;0.0;;;;;;;;
63 Hz;(-);88.0;(-);88.0;69.9;9.0;-18.2;0.0;;;;;;;;
80 Hz;(-);86.9;(-);86.9;70.1;10.0;-16.7;0.0;;;;;;;;
100 Hz;(-);85.2;(-);85.2;71.3;11.0;-13.9;0.0;;;;;;;;
125 Hz;(-);81.9;(-);81.9;71.2;12.0;-10.7;0.0;;;;;;;;
160 Hz;(-);77.2;(-);77.2;73.7;13.0;-3.5;0.0;;;;;;;;
200 Hz;(-);73.7;(-);73.7;73.0;14.0;-0.7;0.0;;;;1;;;;
250 Hz;(-);65.9;(-);65.9;74.7;15.0;8.7;0.0;;;;1;;;;
315 Hz;;61.3;;61.3;74.9;15.0;13.6;0.0;;;;1;;;1;
400 Hz;(-);70.6;(-);70.6;77.1;15.0;6.5;0.0;;;;;;;;
500 Hz;(-);75.3;(-);75.3;79.3;15.0;3.9;0.0;;;;;;;;
630 Hz;(-);75.6;(-);75.6;79.2;15.0;3.6;0.0;;;;;;;;
800 Hz;(-);74.5;(-);74.5;78.3;15.0;3.8;0.0;;;;;;;;
1 kHz;(-);71.1;(-);71.1;75.1;15.0;3.9;0.0;;;;;;;;
1.25 kHz;(-);68.9;(-);68.9;73.0;15.0;4.0;0.0;;;;;;;;
1.6 kHz;(-);67.3;(-);67.3;71.3;15.0;4.0;0.0;;;;;;;;
2 kHz;(-);69.2;(-);69.2;72.3;15.0;3.1;0.0;;;;;;;;
2.5 kHz;(-);68.2;(-);68.2;71.0;15.0;2.8;0.0;;;;;;;;
3.15 kHz;(-);68.1;(-);68.1;70.8;14.0;2.7;0.0;;;;;;;;
4 kHz;(-);65.6;(-);65.6;68.4;13.0;2.8;0.0;;;;;;;;
5 kHz;(-);63.4;(-);63.4;65.7;12.0;2.3;0.0;;;;;;;;
6.3 kHz;(-);62.1;(-);62.1;63.9;11.0;1.9;0.0;;;;;;;;
8 kHz;(-);59.4;(-);59.4;61.0;10.0;1.6;0.0;;;;;;;;
10 kHz;(-);61.6;(-);61.6;62.8;4.0;1.3;0.0;;;;;;;;
12.5 kHz;(-);54.0;(-);54.0;54.8;;0.8;0.0;;;1;;;;;
16 kHz;(-);50.2;(-);50.2;51.2;;1.0;0.0;;;1;;;;;
20 kHz;(-);41.1;(-);41.1;45.1;;4.0;0.0;;;1;;;;;
;;;;;;;;;;;;;;;;
Calculation area;1,00 m²;;;;;;;;;;;;;;;
Specified area;1,00 m²;;;;;;;;;;;;;;;
