Name;Duration;Unit;Lfeq 125 Hz;Lfeq 250 Hz;Lfeq 500 Hz;Lfeq 1 kHz;Lfeq 2 kHz;Lfeq 4 kHz;Lfeq 8 kHz
Nor15030749-2022-02-03 15-48-56;00:00:10.000;dB;35.7;35.7;23.9;29.1;24.0;17.4;14.5
Nor15030749-2022-02-03 15-51-42;00:00:10.000;dB;75.0;77.5;78.0;81.2;80.6;76.3;69.0
Nor15030749-2022-02-03 15-54-41;00:00:10.000;dB;70.5;75.9;78.9;76.5;72.0;67.8;58.8
Nor15030749-2022-02-03 16-00-03;00:00:10.000;dB;71.465;75.455;78.995;76.36;71.59;67.87;60.04
Nor15030749-2022-02-03 16-01-01;00:00:10.000;dB;75.225;77.275;77.94;80.74;80.23;75.925;68.355
Nor15030749-2022-02-03 16-03-50;00:00:10.000;dB;36.38;36.23;24.205;28.745;24.275;17.46;14.37
Nor15030749-2022-02-03 16-10-22;00:00:10.000;dB;38.085;36.285;24.57;28.77;24.55;17.435;14.41
Nor15030749-2022-02-03 16-11-33;00:00:10.000;dB;71.08;76.205;79.66;76.765;71.395;67.365;58.04
Nor15030749-2022-02-03 16-12-40;00:00:10.000;dB;78.085;77.24;78.215;81.225;80.565;75.895;68.79
Nor15030749-2022-02-03 16-18-25;00:00:10.000;dB;36.605;37.865;23.67;29.185;24.775;17.74;14.65
Nor15030749-2022-02-03 16-19-25;00:00:10.000;dB;71.21;75.115;78.685;75.965;71.015;67.21;58.265
Nor15030749-2022-02-03 16-20-44;00:00:10.000;dB;73.825;76.92;77.475;80.555;80.135;75.605;67.155
Nor15030749-2022-02-03 16-30-07;00:00:10.000;dB;37.43;34.47;25.01;28.295;24.285;17.56;14.26
Nor15030749-2022-02-03 16-30-54;00:00:10.000;dB;72.05;76.17;79.87;76.325;71.76;68.065;59.36
Nor15030749-2022-02-03 16-31-43;00:00:10.000;dB;77.675;77.645;78.145;81.215;80.455;76.65;69.34
Nor15030749-2022-02-03 16-40-21;00:00:10.000;dB;71.845;76.765;79.75;76.41;72.655;69.36;62.69
Nor15030749-2022-02-03 16-43-16;00:00:10.000;dB;73.165;76.605;79.865;77.48;73.38;69.175;62.475
Nor15030749-2022-02-03 16-45-33;00:00:10.000;dB;72.9;76.175;79.74;76.78;72.985;68.835;61.005
Nor15030749-2022-02-03 16-46-44;00:00:10.000;dB;73.325;76.56;79.175;76.735;72.53;68.955;62.005
Nor15030749-2022-02-03 16-47-52;00:00:10.000;dB;73.01;76.96;80.915;77.585;73.475;70.17;64.14
